                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48505,                0.36657,                 1.0774,                0.99869,                      1,                  0.995,                0.92218,                0.41574,                0.23749,                 0.8614,             0.00091216,             0.00091216,             0.00091216
                     37,                0.48026,                0.36983,                 1.0778,                0.99901,                      1,                  0.995,                0.96832,                0.28774,                0.20881,                0.82482,              0.0008947,              0.0008947,              0.0008947
                     38,                0.46857,                0.36817,                 1.0706,                0.99815,                0.99878,                  0.995,                0.95472,                0.34089,                0.22603,                0.84632,             0.00087699,             0.00087699,             0.00087699
                     39,                0.45809,                0.34801,                 1.0545,                0.99927,                      1,                  0.995,                0.96699,                0.30956,                0.18729,                0.83146,             0.00085903,             0.00085903,             0.00085903
                     40,                0.44369,                0.33603,                 1.0482,                0.99865,                      1,                  0.995,                 0.9581,                0.34425,                0.20106,                0.84013,             0.00084084,             0.00084084,             0.00084084
                     41,                 0.4463,                0.34441,                 1.0474,                0.99774,                      1,                  0.995,                0.95784,                0.33492,                0.19309,                0.84981,             0.00082245,             0.00082245,             0.00082245
                     42,                0.44745,                0.32705,                 1.0432,                 0.9979,                      1,                0.99499,                0.97469,                0.29449,                0.19384,                0.82319,             0.00080388,             0.00080388,             0.00080388
                     43,                0.44276,                0.35372,                 1.0553,                0.99908,                      1,                  0.995,                0.97866,                0.27252,                0.18317,                0.81048,             0.00078513,             0.00078513,             0.00078513
                     44,                0.43687,                 0.3287,                 1.0462,                0.99915,                      1,                  0.995,                0.97937,                 0.2685,                0.18283,                 0.8125,             0.00076623,             0.00076623,             0.00076623
                     45,                 0.4379,                0.34633,                 1.0435,                0.99941,                      1,                  0.995,                0.97929,                0.29839,                0.19097,                0.81933,             0.00074719,             0.00074719,             0.00074719
                     46,                0.42485,                0.32161,                 1.0369,                0.99952,                      1,                  0.995,                0.97852,                0.27914,                0.17908,                0.81683,             0.00072804,             0.00072804,             0.00072804
                     47,                0.43283,                0.32895,                 1.0446,                0.99942,                      1,                  0.995,                0.98801,                0.24824,                0.17109,                0.80466,              0.0007088,              0.0007088,              0.0007088
                     48,                0.43318,                0.32464,                 1.0376,                0.99757,                      1,                  0.995,                0.97778,                0.28834,                0.17783,                0.81035,             0.00068948,             0.00068948,             0.00068948
                     49,                0.41861,                0.32342,                 1.0336,                0.99507,                0.99967,                0.99497,                0.96593,                0.31329,                0.19449,                0.82056,              0.0006701,              0.0006701,              0.0006701
                     50,                0.42536,                 0.3203,                 1.0408,                0.99791,                      1,                0.99498,                0.98481,                0.24878,                0.17374,                0.80419,             0.00065069,             0.00065069,             0.00065069
                     51,                0.42093,                0.31931,                 1.0324,                0.99897,                      1,                  0.995,                0.98842,                0.23393,                0.16105,                0.80189,             0.00063125,             0.00063125,             0.00063125
                     52,                0.42492,                0.32604,                 1.0428,                 0.9993,                      1,                  0.995,                0.98428,                0.26372,                0.16645,                0.81058,             0.00061181,             0.00061181,             0.00061181
                     53,                0.40444,                0.30683,                 1.0171,                0.99935,                      1,                  0.995,                 0.9875,                0.20979,                0.15129,                0.79528,              0.0005924,              0.0005924,              0.0005924
                     54,                 0.4042,                 0.3035,                 1.0235,                 0.9993,                      1,                  0.995,                0.98487,                 0.2413,                 0.1647,                0.79906,             0.00057302,             0.00057302,             0.00057302
                     55,                0.39553,                0.29412,                 1.0184,                0.99931,                      1,                  0.995,                0.98601,                0.25043,                0.16523,                0.79884,              0.0005537,              0.0005537,              0.0005537
                     56,                0.39398,                0.29287,                 1.0179,                0.99946,                      1,                  0.995,                0.98529,                0.26349,                0.15356,                0.80206,             0.00053446,             0.00053446,             0.00053446
                     57,                 0.3844,                0.28928,                 1.0146,                0.99936,                0.99997,                  0.995,                0.98985,                0.22143,                0.14858,                 0.7929,             0.00051531,             0.00051531,             0.00051531
                     58,                0.39087,                0.29571,                 1.0206,                0.99943,                      1,                  0.995,                0.98759,                0.24505,                0.15971,                0.79983,             0.00049627,             0.00049627,             0.00049627
                     59,                0.38069,                0.29048,                 1.0127,                0.99954,                      1,                  0.995,                0.99103,                0.23294,                0.14927,                0.80615,             0.00047737,             0.00047737,             0.00047737
                     60,                 0.3682,                0.27664,                 1.0024,                0.99916,                      1,                  0.995,                 0.9907,                0.21072,                0.14003,                0.79738,             0.00045862,             0.00045862,             0.00045862
                     61,                0.37136,                0.27842,                0.99666,                0.99932,                      1,                  0.995,                0.98998,                0.23884,                0.14811,                0.79949,             0.00044005,             0.00044005,             0.00044005
                     62,                0.36892,                0.27774,                  1.003,                0.99923,                      1,                  0.995,                0.98769,                0.25159,                0.15652,                0.79859,             0.00042166,             0.00042166,             0.00042166
                     63,                0.37857,                0.27616,                 1.0152,                0.99953,                      1,                  0.995,                0.98654,                 0.2751,                0.15749,                 0.8065,             0.00040347,             0.00040347,             0.00040347
                     64,                0.36801,                0.27471,                 1.0047,                0.99901,                      1,                  0.995,                0.99176,                0.19804,                0.13943,                0.78816,             0.00038551,             0.00038551,             0.00038551
                     65,                 0.3531,                0.26843,                0.99762,                0.99959,                      1,                  0.995,                0.99071,                0.22286,                0.13867,                 0.7934,              0.0003678,              0.0003678,              0.0003678
                     66,                0.36424,                0.27041,                 1.0023,                0.99955,                      1,                  0.995,                0.99057,                0.23468,                0.14854,                0.79037,             0.00035034,             0.00035034,             0.00035034
                     67,                 0.3556,                 0.2638,                0.99464,                0.99913,                      1,                  0.995,                0.99209,                0.20158,                0.13385,                0.78471,             0.00033316,             0.00033316,             0.00033316
                     68,                0.34615,                0.25819,                0.99108,                0.99961,                      1,                  0.995,                0.99187,                0.20348,                0.13307,                0.78458,             0.00031628,             0.00031628,             0.00031628
